,Event,Node,Target,Time
1489,Role,101, ROLE_AMBASSADOR,622
1490,Connect,39,101,622
1491,Role,114, ROLE_AMBASSADOR,623
1492,Connect,39,114,623
1493,Connect,39,115,624
1494,Role,40, ROLE_NONE,625
1495,Role,8, ROLE_NONE,625
1496,Connect,40,8,625
1497,Connect,40,9,626
1498,Role,13, ROLE_NONE,627
1499,Connect,40,13,627
1500,Role,22, ROLE_NONE,628
1501,Connect,40,22,628
1502,Role,40, ROLE_AMBASSADOR,629
1503,Role,23, ROLE_AMBASSADOR,629
1504,Connect,40,23,629
1505,Role,40, ROLE_NONE,630
1506,Connect,40,31,630
1507,Role,40, ROLE_AMBASSADOR,631
1508,Connect,40,33,631
1509,Role,36, ROLE_AMBASSADOR,632
1510,Connect,40,36,632
1511,Role,37, ROLE_AMBASSADOR,633
1512,Connect,40,37,633
1513,Role,40, ROLE_NONE,634
1514,Role,38, ROLE_NONE,634
1515,Connect,40,38,634
1516,Role,40, ROLE_AMBASSADOR,635
1517,Role,47, ROLE_AMBASSADOR,635
1518,Connect,40,47,635
1519,Connect,40,71,636
1520,Connect,40,77,637
1521,Role,89, ROLE_AMBASSADOR,638
1522,Connect,40,89,638
1523,Role,97, ROLE_AMBASSADOR,639
1524,Connect,40,97,639
1525,Connect,40,123,640
1526,Role,41, ROLE_NONE,641
1527,Role,4, ROLE_NONE,641
1528,Connect,41,4,641
1529,Connect,41,7,642
1530,Connect,41,14,643
1531,Connect,41,35,644
1532,Role,41, ROLE_AMBASSADOR,645
1533,Connect,41,55,645
1534,Role,57, ROLE_AMBASSADOR,646
1535,Connect,41,57,646
1536,Connect,41,58,647
1537,Role,70, ROLE_AMBASSADOR,648
1538,Connect,41,70,648
1539,Connect,41,72,649
1540,Role,75, ROLE_AMBASSADOR,650
1541,Connect,41,75,650
1542,Role,83, ROLE_AMBASSADOR,651
1543,Connect,41,83,651
1544,Role,104, ROLE_AMBASSADOR,652
1545,Connect,41,104,652
1546,Role,110, ROLE_AMBASSADOR,653
1547,Connect,41,110,653
1548,Role,112, ROLE_AMBASSADOR,654
1549,Connect,41,112,654
1550,Role,113, ROLE_AMBASSADOR,655
1551,Connect,41,113,655
1552,Connect,41,119,656
1553,Role,2, ROLE_NONE,657
1554,Connect,42,2,657
1555,Role,6, ROLE_NONE,658
1556,Connect,42,6,658
1557,Connect,42,7,659
1558,Connect,42,11,660
1559,Role,42, ROLE_AMBASSADOR,661
1560,Role,44, ROLE_AMBASSADOR,661
1561,Connect,42,44,661
1562,Role,42, ROLE_NONE,662
1563,Connect,42,59,662
1564,Role,81, ROLE_NONE,663
1565,Connect,42,81,663
1566,Role,42, ROLE_AMBASSADOR,664
1567,Connect,42,83,664
1568,Role,93, ROLE_AMBASSADOR,665
1569,Connect,42,93,665
1570,Role,42, ROLE_NONE,666
1571,Role,104, ROLE_NONE,666
1572,Connect,42,104,666
1573,Role,42, ROLE_AMBASSADOR,667
1574,Role,108, ROLE_AMBASSADOR,667
1575,Connect,42,108,667
1576,Connect,42,111,668
1577,Role,42, ROLE_NONE,669
1578,Role,113, ROLE_NONE,669
1579,Connect,42,113,669
1580,Role,119, ROLE_NONE,670
1581,Connect,42,119,670
1582,Role,42, ROLE_AMBASSADOR,671
1583,Connect,42,122,671
1584,Role,127, ROLE_AMBASSADOR,672
1585,Connect,42,127,672
1586,Role,43, ROLE_NONE,673
1587,Role,3, ROLE_NONE,673
1588,Connect,43,3,673
1589,Role,43, ROLE_AMBASSADOR,674
1590,Role,8, ROLE_AMBASSADOR,674
1591,Connect,43,8,674
1592,Role,43, ROLE_NONE,675
1593,Role,23, ROLE_NONE,675
1594,Connect,43,23,675
1595,Connect,43,31,676
1596,Connect,43,38,677
1597,Role,43, ROLE_AMBASSADOR,678
1598,Role,45, ROLE_AMBASSADOR,678
1599,Connect,43,45,678
1600,Role,43, ROLE_NONE,679
1601,Role,47, ROLE_NONE,679
1602,Connect,43,47,679
1603,Role,43, ROLE_AMBASSADOR,680
1604,Role,63, ROLE_AMBASSADOR,680
1605,Connect,43,63,680
1606,Connect,43,70,681
1607,Role,43, ROLE_NONE,682
1608,Role,71, ROLE_NONE,682
1609,Connect,43,71,682
1610,Role,89, ROLE_NONE,683
1611,Connect,43,89,683
1612,Role,43, ROLE_AMBASSADOR,684
1613,Role,90, ROLE_AMBASSADOR,684
1614,Connect,43,90,684
1615,Role,96, ROLE_AMBASSADOR,685
1616,Connect,43,96,685
1617,Role,118, ROLE_AMBASSADOR,686
1618,Connect,43,118,686
1619,Connect,43,121,687
1620,Role,43, ROLE_NONE,688
1621,Role,123, ROLE_NONE,688
1622,Connect,43,123,688
1623,Role,44, ROLE_NONE,689
1624,Connect,44,7,689
1625,Role,44, ROLE_AMBASSADOR,690
1626,Role,13, ROLE_AMBASSADOR,690
1627,Connect,44,13,690
1628,Role,25, ROLE_AMBASSADOR,691
1629,Connect,44,25,691
1630,Connect,44,42,692
1631,Role,44, ROLE_NONE,693
1632,Role,45, ROLE_NONE,693
1633,Connect,44,45,693
1634,Role,55, ROLE_NONE,694
1635,Connect,44,55,694
1636,Role,58, ROLE_NONE,695
1637,Connect,44,58,695
1638,Role,44, ROLE_AMBASSADOR,696
1639,Role,59, ROLE_AMBASSADOR,696
1640,Connect,44,59,696
1641,Role,44, ROLE_NONE,697
1642,Role,60, ROLE_NONE,697
1643,Connect,44,60,697
1644,Role,44, ROLE_AMBASSADOR,698
1645,Connect,44,70,698
1646,Role,73, ROLE_AMBASSADOR,699
1647,Connect,44,73,699
1648,Role,44, ROLE_NONE,700
1649,Role,88, ROLE_NONE,700
1650,Connect,44,88,700
1651,Role,44, ROLE_AMBASSADOR,701
1652,Connect,44,95,701
1653,Role,104, ROLE_AMBASSADOR,702
1654,Connect,44,104,702
1655,Connect,44,110,703
1656,Role,113, ROLE_AMBASSADOR,704
1657,Connect,44,113,704
1658,Role,45, ROLE_AMBASSADOR,705
1659,Role,7, ROLE_AMBASSADOR,705
1660,Connect,45,7,705
1661,Role,14, ROLE_AMBASSADOR,706
1662,Connect,45,14,706
1663,Role,45, ROLE_NONE,707
1664,Role,34, ROLE_NONE,707
1665,Connect,45,34,707
1666,Role,45, ROLE_AMBASSADOR,708
1667,Role,35, ROLE_AMBASSADOR,708
1668,Connect,45,35,708
1669,Role,43, ROLE_AMBASSADOR,709
1670,Connect,45,43,709
1671,Role,45, ROLE_NONE,710
1672,Role,44, ROLE_NONE,710
1673,Connect,45,44,710
1674,Role,45, ROLE_AMBASSADOR,711
1675,Connect,45,54,711
1676,Role,45, ROLE_NONE,712
